Synonym	Mesh_UI
Biologiska energikällor	D001674
Biologiska modeller	D008954
Biologiska tumörmarkörer	D014408
Biomarkörer	D015415
Biopsi	D001706
Biopsi, nål	D001707
Biostatistik	D001699
Biosyntetiska proteiner	D011994
Bioteknik	D001709
Biotillgänglighet	D001682
Bipacksedel	D004348
Bipolär depression	D001714
Bipolär sjukdom	D001714
Bisköldkörtelcancer	D010282
Bisolvon	D001964
Bisonoxe	D016164
Bittande stickmyggor	D002519
Bittervedsväxter	D029641
Björnar	D001503
B-kombin	D014803
Bladgrönt	D002734
Bladmage	D009851
Bladmynta	D031344
Bladselleri	D028525
Blandad dysgenesi	D006060
Blandorganism	D002678
Blastoderm	D001756
Blastula	D001755
Blefarit	D001762
Blefarofimos	D016569
Blefaroptos	D001763
Blefarospasm	D001764
Blekselleri	D028525
Blinda	D019987
Blindhet, kortikal	D019575
Blindtarmscancer	D002430
Bliss	D003143
Blixtskador	D015168
Blocadren	D013999
Bloch-Sulzbergers syndrom	D007184
Blockering (Psykologi)	D007266
Blod i avföringen	D009780
Blodburna patogener	D017848
Blodcancer	D019337
Blodcellsräkning	D001772
Blodfettsänkande medel	D000960
Blodförgiftning	D018805
Blodgivning	D001803
Blodgivning, autolog	D001804
Blodglukos	D001786
Blodgrupper	D001789
Blodkoaguleringssjukdomar	D001778
Blodkroppar	D001773
Blodkroppsantal	D001772
Blodkärlsendoteliom	D006390
Blodkärlstumör	D006391
Blodplasma	D010949
Blodpropp i hjärnan	D020767
Blodpropp i lungartärerna	D004618
Blodprov	D001774
Blodsband	D003241
Blodserum	D044967
Blodsockersänkande medel	D007004
Blodsvulst	D006406
Blodsänka	D001799
Blodtransfusion, autolog	D001804
Blodtrycksmonitorer	D015924
Blodtrycksmätare	D019722
Blodtrycksmätning, långtids	D018660
Blodutgjutning	D006406
Blodvallning	D005483
Blyerts	D006108
Blygdbenssymfys	D011631
Blåfärgning av hud	D003490
Blåklint	D031179
Blåscancer	D001749
Blåshalskörtel	D011467
Blåshalskörtelinflammation	D011472
Blåshalsobstruktion	D001748
Blåsmola	D006828
Blåssjukdomar	D001745
Blåssnitt	D053715
Blåsstenar	D001744
Blåstumörer	D001749
Bläckfisk	D049831
Blödande peptiskt sår	D010438
Blödande peptiskt ulkus	D010438
Blödarfeber	D008379
Blöjor, vuxna	D016496
BMB	D001481
BMD	D020388
BNCT-strålbehandling	D016754
BNP	D020097
Boaormar	D017821
Bokförlag	D001870
Bokklassifikation	D001867
Boldo	D031611
Bomber	D053834
Bomull	D003368
Bonefos	D004002
Boosterimmunisering	D007117
Boostervaccination	D007117
Borderline-personlighetsstörning	D001883
Bordsfetter	D005223
Bordssalt	D017673
Bornavirus	D001890
Borrelios	D001899
Borrflugor	D033621
Borttagande av binjure	D000315
Borttagande av polyp	D000233
Borttagning av öga	D015353
Boskap	D002417
Botox	D019274
Botulinumtoxiner	D001905
Bovete	D019612
Bovint coronavirus	D017938
Bovint immunbristvirus	D016087
Bovint parainfluensavirus 3	D029101
BPRS	D010054
Brachmann-de Langes syndrom	D003635
Bradyarytmi	D001919
Brakialartär	D001916
Brakialplexus	D001917
Brakialplexusparalys	D020516
Brakvedsväxter	D027823
Brankial region	D001934
Brevital	D008723
Bricanyl	D013726
Bristande blodtillförsel	D007511
Bristning, spontan	D012422
BRL-4910A	D016712
Brocks syndrom	D008878
Bromisoval	D001968
Bromsmediciner	D019380
Bromyl	D001968
Bronkdilaterande medel	D001993
Bronker	D001980
Bronkialcancer	D001984
Bronkialcysta	D001994
Bronkialsjukdomar	D001982
Bronkiektasi	D001987
Bronkiell allergenprovokation	D001985
Bronkiolo-alveolär adenokarcinom	D002282
Bronkit	D001991
Bronkkonstriktion	D016084
Bronkoalveolärt lavage	D018893
Bronkogent karcinom	D002283
Bronkospasm	D001986
Broställning	D003830
Brottsförebyggande åtgärder	D012637
Brucellos, nötkreatur	D002007
Brufen	D007052
Bruna adipocyter	D052437
Brunt fett	D002001
Brustet aneurysm	D017542
Brutna ben	D050723
Bruxism	D002012
Bruxism under sömn	D020186
Bryggor	D003830
Brytbönor	D027805
Brytning, okulär	D012029
Bräckliga äldre	D016330
Bräckor	D031995
Brännande känsla på tungan	D002054
Brännskador, elektriska	D002058
Brännskador, inhalation	D002059
Brännskador, kemiska	D002057
Brännässla	D026982
Bräsmor	D031217
Bröstbärsträd	D031957
Bröstböld	D008413
Bröstcancer	D001943
Bröstcancer hos djur	D015674
Bröstcancer hos män	D018567
Bröstcancer, experimentell	D008325
Bröstcancergener	D019398
Bröstkorgscancer	D013899
Bröstproteser	D018427
Bröstreduktion	D016462
Bröstvårtepiercing	D046288
BSE	D016643
B-T-vitamin	D002331
Buasjuka	D011000
Budbärar-RNA	D012333
Budd-Chiaris syndrom	D006502
Budgetering	D002017
Budgivning	D003164
Buergers sjukdom	D013919
Bukaortaaneurysm	D017544
Bukcancer	D000008
Bukhernia	D006555
Bukhinnecancer	D010534
Bukläge	D016684
Bukspottkörtelcancer	D010190
Bukspottkörtelinsufficiens	D010188
Bukspottkörtelns alfaceller	D050416
Bukspottkörtelns betaceller	D050417
Bulbus olfactorius	D009830
Bulbär poliomyelit	D011052
Bulimi	D002032
Buller i trafiken	D009624
Bullös pemfigoid	D010391
BUN	D001806
Bunio	D006215
BUP	D002660
Burinex	D002034
Bursa	D002061
Bursit	D002062
Buscopan	D002086
Buskklöver	D029884
Buspar	D002065
Butyrsyra	D020148
Butyrsyror	D002088
B-vitaminbrist	D014804
B-vitaminer	D014803
BVP-1	D052688
BVP-4	D052697
BWS	D001506
Byggkostnader	D005379
Bygglån	D005379
Byggnadsbeskrivningar	D005160
Byggnadslån	D005379
Byggnadsplanering	D005160
Byggnadsunderhåll	D008283
Båtar	D012767
Bäckencancer	D010386
Bäckenevisceration	D010385
Bäckenreservoarer	D016476
Bäddutrustning	D001512
Bönsyrsor	D020050
Ca(2+)-transporterande ATPas	D000252
CAB-63	D037282
CABP-P14	D040502
CABP-P8	D040501
CAD	D003324
CADASIL	D015161
CAD-CAM	D017076
Caelyx	D004317
Caffey-De Toni-Silvermanns syndrom	D006958
CAH	D000312
Cajanus cajan	D036561
Calcaneus	D002111
Calcijex	D002117
Calicivirusinfektioner	D017250
California-encefalit	D004670
California-hjärninflammation	D004670
Callimiconinae	D016647
Callitrichidae	D002143
Camurati-Engelmanns syndrom	D003966
Canales semicirculares	D012665
Canavans leukodystrofi	D017825
Cancer	D009369
Cancer i blindtarmsbihang	D001063
Cancer i gemensamma gallgången	D003138
Cancer i svettkörtlar	D013544
Cancer i talgkörtlar	D012626
Cancer i ändtarmsöppningen	D001005
Cancer in situ	D002278
Cancer, experimentell	D009374
Cancer, germinalcells- och embryonala	D009373
Cancer, histologisk typ	D009370
Cancer, hormonberoende	D009376
Cancer, körtel och epitel	D009375
Cancer, lokalisering	D009371
Cancer, multipel primär	D009378
Cancer, sekundär primär	D016609
Cancer, strålningsframkallad	D009381
Cancer, övergångsepitel	D002295
Cancer-DNA	D004273
Cancergener	D009857
Cancergener, strukturella	D016005
Cancerinvasivitet	D009361
Cancermedel	D000970
Cancermetastaser	D009362
Cancerprocesser	D009385
Cancerproteiner	D009363
Cancerrecidiv, lokalt	D009364
Cancerstadieindelning	D009367
Cancertillbakagång, spontan	D009365
Cancertransplantation	D009368
Cancerutsådd	D009366
Candida-infektion	D002177
Canesten	D003022
Cannabidiol	D002185
Cannabinoider	D002186
Cannabinol	D002187
Cannabis	D002188
Cannabismissbruk	D002189
Cannabisrökning	D008385
Cantaloupmelon	D028463
CAPD	D010531
Capillaria hepatica	D002195
Capoten	D002216
Capsula articularis	D017746
Carbocain	D008619
Carbomix	D002606
Carcinom, adrenokortikalt	D018268
Cardamine pratensis	D031217
Cardizem	D004110
Cartilage thyreoidea	D013957
Cartilago cricoidea	D003413
Case-mix	D003953
Catapresan	D003000
Caverject	D000527
Cavum peritonei	D010529
Cayennepeppar	D002212
CB-154	D001971
CBF-Spect	D015899
CCT	D018849
CD11c-antigen	D016167
CD257-antigener	D053264
CD268-antigener	D053265
CD4-lymfocyträkning	D018791
CDC28-proteinkinas	D017489
CDK	D018844
CDK9-proteinkinas	D042863
cDNA	D018076
CEA	D002272
Cefalometri	D002508
Cekalcancer	D002430
Cekalsjukdomar	D002429
Cekaltumörer	D002430
Cekum	D002432
Celeston	D001623
Celiakalartär	D002445
Celiaki	D002446
Celibat	D012746
Celladhesion	D002448
Cellanoxi	D015687
Celler, klonade	D002999
Cellförmedlad immunitet	D007111
Cellförökning	D049109
Cellgiftsregim	D024221
Cellhämmare	D000970
Cellhämmare, hormonella	D018931
Cellhämmare, kombinerade	D000971
Cellhämmare, naturmedel	D000972
Cellkultur	D018929
Celllinje, tumör	D045744
Cellmembranpermeabilitet	D002463
Cellnybildning	D006965
Cellplasma	D003593
Cellplasminogenaktivator	D010959
Cellproliferering	D049109
Cellrespiration	D019069
Cellräkning	D002452
Cellsortering	D002469
Cellulär mekanotransduktion	D040542
Celocurin	D013390
Central pontin myelinolys	D017590
Central sömnapne	D020182
Central venkateterisering	D002405
Centrala nervsystemets cancer	D016543
Centrala nervsystemets tuberkulos	D020306
Centraliserade sjukhustjänster	D002497
Centralstimulantia	D000697
Centrioler	D002502
Centronukleär myopati	D020914
Centroplasma	D018385
Centrosoma	D018385
Ceramidglukosidas	D005962
Cerazette	D017135
Cercikalplexus	D002572
Cerealier	D002523
Cerebellum	D002531
Cerebellär cancer	D002528
Cerebellära sjukdomar	D002526
Cerebellära tumörer	D002528
Cerebral abscess	D001922
Cerebral aneurysm	D002532
Cerebral angiografi	D002533
Cerebral anoxi	D002534
Cerebral arterioskleros	D002537
Cerebral ataxi	D002524
Cerebral autosomal dominant arteriopati	D046589
Cerebral dominans	D004292
Cerebral emboli	D020766
Cerebral emboli och trombos	D002542
Cerebral hypoxi	D002534
Cerebral ischemi	D002545
Cerebral ischemi, transitorisk	D002546
Cerebral malaria	D016779
Cerebral trombos	D020767
Cerebral vasospasm	D020301
Cerebrala arteriovenösa missbildningar	D002538
Cerebrala vener	D002550
Cerebralartärer	D002536
Cerebralartärsjukdomar	D002539
Cerebrosidas	D010694
Cerebrospinalvätskeshuntar	D002557
Cerebrospinalvätsketryck	D015170
Cerebrovaskulär cirkulation	D002560
Cerebrovaskulär händelse	D020521
Certifikat	D011996
Cerubidin	D003630
Cerutil	D002504
Cervicit	D002575
Cervico-brakial neuralgi	D020968
Cervikal manipulation	D020393
Cervikalkotor	D002574
Cervix	D002584
Cervixcancer	D002583
Cervixcytologiskt prov	D014626
Cervixdilatation	D020070
Cervixdysplasi	D002578
Cervixinsufficiens	D002581
Cervixmognad	D020070
Cervixmukus	D002582
Cervixsekret	D002582
Cervixsjukdomar	D002577
Cervixstatus	D020070
Cervixtumörer	D002583
Cestodinfektioner	D002590
Cetiprin	D004629
CGRP	D015740
Chalkonflavanonisomeras	D002599
Chalkonisomeras	D002599
Chefsjuksköterskor	D009718
Chiaris syndrom	D006502
Chiasma opticum	D009897
Chigger	D014324
Chiroptera	D002685
Chlamydia pneumoniae	D016993
Chlamydia psittaci	D002691
Chlorobium	D019414
Chloromycetin	D002701
Chock, hemorragisk	D012771
Chocklunga	D012127
Chocklunga	D012128
Chockterapi, insulin	D003295
Choklad	D002099
Cholelithiasis	D042882
Chorda umbilicalis	D014470
Choroid plexus-papillom	D020288
Christmas sjukdom	D002836
Christ-Siemens-Touraines syndrom	D053358
Cilantro	D028526
Cilieorörlighet	D002925
Cilier	D002923
Ciliär dyskinesi	D002925
Cinchona	D002929
Cinchonaalkaloider	D002930
Cine-MRI	D019028
Cineröntgen	D002933
Cirkadisk rytm	D002940
Cirkulationskollaps	D012769
Cirkulationsstillestånd	D012769
Cirkulationssvikt	D012769
Cirkullerande cancerceller	D009360
Cirkumanala körtlar	D010481
Cirkumcision	D002944
Cisordinol	D003006
Cistron	D005796
Cistron	D005811
Citanest	D011318
Citrovorumfaktor	D002955
Citrus	D002957
Civil motstånd	D002960
CK1-alfa	D048128
CK1-delta	D048148
CK1-epsilon	D048149
CK2	D047390
CKI-alfa	D048128
CKI-delta	D048148
CKI-epsilon	D048149
CKII	D047390
Claforan	D002439
Claudicatio intermittens	D007383
Clerodendron	D032409
Clinoril	D013467
Clomethiazol	D002719
CMT	D002607
CMV-vacciner	D022482
CNTF	D020934
CO	D002248
CoA	D003065
CoA-ligaser	D003066
CoA-transferaser	D015256
Cockayne-Pelizaeus-Merzbachers sjukdom	D020371
Co-Dergocrin	D004877
Colon irritabile	D043183
Colon transversum	D044684
Comamonas acidovorans	D020605
Complamin	D014971
Concha nasales	D014420
Condyline	D011034
Conns sjukdom	D006929
Coping	D000223
Cor pulmonale	D011660
Cordarone	D000638
Cornelia de Langes syndrom	D003635
Corotrop	D020105
Corpora mammillaria	D008326
Corpus luteum	D003338
Corpus luteum-hormoner	D003339
Corpus pineale	D010870
Corpus vitreum	D014822
Corrositex	D023422
Cortis ganglion	D013136
Cosmegen	D003609
COX-2-hämmare	D052246
Cox-hämmare	D016861
Coxiber	D016861
Coxiber	D052246
Cozaar	D019808
CP	D002547
CPAP	D045422
CPEO	D017246
CPR	D016887
Creon	D020799
Cri-du-chatsyndrom	D003410
Crixivan	D019469
cRNA	D018075
Crocus sativus	D027622
Cronkhite-Canada syndrom	D044483
Crouzons sjukdom	D003394
CRP	D002097
CRPS	D020918
CRPS-typ I	D012019
Cryptolepsis	D031106
CSF	D002555
CSF-1-receptor	D016186
CSF-proteiner	D002556
CT	D014057
CTG	D015148
C-typlektiner	D037181
Curculionidae	D048889
Cushings sjukdom	D047748
CVA	D020521
CVK	D002405
Cyclogyl	D003519
Cykelhjälmar	D006260
Cykliska aminosyror	D000598
Cykliska etrar	D004988
Cykliska peptider	D010456
Cykliskt adenosinmonofosfat	D000242
Cykliskt cytidinmonofosfat	D003563
Cykliskt GMP, dibutyryl	D003995
Cykliskt guanosinmonofosfat	D006152
Cykliskt inosinmonofosfat	D007289
Cyklokapron	D014148
Cyklooxygenasinhibitorer	D016861
Cyklosporin A	D016572
Cyklotymiska störningar	D003527
CYP21	D013255
Cystagon	D003543
Cysteinproteinasinhibitorer	D015853
Cystikerkos	D013622
Cystiskt mesoteliom	D018261
Cystit	D003556
Cystopyelit	D053653
Cystor i centrala nervsystemet	D020863
Cystosarcoma phyllodes	D003557
Cystosarkom phyllodes	D003557
Cytokemi	D006651
Cytokrom a	D017936
Cytokrom b	D003573
Cytokrom c-oxidas	D003576
Cytokrom P-450 CYP11B2	D019405
Cytomegali	D003586
Cytophagaceae	D041964
Cytophagales	D041963
Cytoplasmatiska vesiklar	D022162
Cytosar	D003561
Cytostatika	D000970
Cytostatika, hormonella	D018931
Cytostatika, kombinerade	D000971
Cytostatika, naturmedel	D000972
Cytotec	D016595
Dactylolysis spontanea	D000387
Dagen-efter-piller	D003281
Dagkirurgi	D000556
Dagliga livets aktiviteter	D000203
Daglilja	D031421
Dagvätning	D053207
Dakryocystit	D003607
Dalacin	D002981
Damiana	D029647
Danocrine	D003613
Danssjuka	D006816
Daonil	D005905
Dataanalys, statistisk	D003627
Datafoner	D003629
Datoriserade journaler	D016347
Datorjournaler	D016347
Datorprogram	D012984
Datorstödd bildbehandling	D007091
Datorstödd bildtolkning	D007090
Datorstödd diagnos	D003936
Datorstödd kirurgi	D025321
Datorstödd läkemedelsterapi	D004360
Datorstödd numerisk analys	D009716
Datorstödd radiobildtolkning	D011857
Datorstödd radioterapi	D011881
Datorstödd signalbehandling	D012815
Datorstödd terapi	D013813
Datorstött beslutsfattande	D003658
Daunomycin	D003630
D-celler	D019864
DDD	D003632
DDE	D003633
Dead space andning	D012124
Debridering	D003646
Debriefing, psykologisk	D011614
Decadron	D003907
Decapeptyl	D017329
Defekation	D003672
Defibrillering, electric	D004554
Defibrol	D012103
Deformiteter	D000013
Dehydrering	D003681
Dejerine-Roussys syndrom	D013786
Dejerine-Thomas syndrom	D009849
Dekompression, abdominell	D008150
Dekompressionssjukdom	D003665
Dekontaminering	D003666
Dekubitus	D003668
Delfiteknik	D003697
delta (1)-THC	D013759
delta (9)-THC	D013759
Deltavirus	D003698
Demens, Lewykropp	D020961
Demens, multiinfarkt	D015161
Dendriter	D003712
Dendroner	D050091
Dengue chocksyndrom	D019595
Denguefeber	D003715
Dens axis	D009809
Dens caninus	D003481
Dens cuspidatus	D003481
Densitometri, röntgen	D003721
Dental bondning	D001840
Dental filosofi	D010685
Dental infektionskontroll	D019552
Dental karies	D003731
Dental ocklusion	D003766
Dental ocklusion, traumatisk	D003769
Dental teknik	D013674
Dentala inlägg	D007284
Dentala material	D003764
Dentala modeller	D003765
Dentala plack	D003773
Dentalimplantation, osseointegrerad	D003758
Dentalimplantation, osseointegrerad, endodontisk	D003759
Dentalt amalgam	D003723
Dentin	D003804
Dentinogenes	D003810
Dentition	D003817
Deoxiepinefrin	D003846
Deoxirubonukleinsyra	D004247
Depo-medroxiprogesteron 17-acetat	D017258
Depo-provera	D017258
Depotentiering	D036881
Deprenalin	D012642
Depression	D003863
Depression, postpartum	D019052
Depressionssymtom	D003863
Depåpreparat	D003692
Dercums sjukdom	D000274
Dermatit	D003872
Dermatit, kontakt	D003877
Dermatomykoser	D003881
Dermatoskleros	D012594
Dermatoskleros	D012595
Dermis	D020405
Dermovat	D002990
Dertil	D009533
Desferal	D003676
Deskriptiv bibliografi	D001636
Desmoid	D018222
Desmoplastiskt fibrom	D018220
Desmopressin	D003894
Desmosomer	D003896
Desorienterad schizofreni	D012562
Deuterium	D003903
Deuteriumoxid	D017666
Deuteromyceter	D003904
Devics sjukdom	D009471
Dexpropranolol	D011433
Dextrokardi	D003914
DHA	D004281
Diabetes mellitus	D003920
Diabetes mellitus, experimentell	D003921
Diabetes mellitus, icke-insulinberoende	D003924
Diabetes, gestation	D016640
Diabetes, icke-insulinberoende	D003924
Diabetes, insulinberoende	D003922
Diabetesangiopatier	D003925
Diabetesnefropatier	D003928
Diabetesretinopati	D003930
Diabetiska fotsår	D017719
Diabetiska nervsjukdomar	D003929
Diacetylmorfin	D003932
Diafragma	D003964
Diafysdysplasi, progressiv	D003966
Diagnostisk avbildning	D003952
Diagnostiska rutintester	D003955
Dialax	D010463
Dialys i hemmet	D006437
Dialysenheter på sjukhus	D006436
Dialyslösningar	D015312
Diamox	D000086
Diande djur	D000833
Diarre, infantil	D003968
Diarre, medel mot	D000930
Diastas	D000681
Diastema	D003970
Diatermiknivkirurgi	D004564
Dibenamin	D003983
DIC	D004211
Diclocil	D004009
Dideoxicytidin	D016047
DIDS	D017878
Diencefalon	D004027
Dientamoebiasis	D004030
Dieselavgaser	D001335
Diet	D004032
Dietetik	D004046
Dietistverksamhet	D004045
Diettrender	D004033
Dietära fetter	D004041
Dietära kolhydrater	D004040
Dietära proteiner	D004044
Dietärt fosfor	D016226
Dietärt järn	D019266
Dietärt kalcium	D002136
Dietärt kalium	D017419
Dietärt kolesterol	D002791
Dietärt natrium	D012982
Dietärt socker	D019422
Difenylhydantoin	D010672
Diffus palmoplantar keratoderma	D015776
Diffusion-MRI	D038524
Diffust lymfom	D016398
Diffust storcelligt lymfom	D016403
Diflucan	D015725
Difosfonater	D004164
Difteri-stelkramp-kikhostevaccin	D015721
